source,target,relation_detail,weight,source_name,source_bio,target_name,target_bio
26,27,family,4,Alice Longbottom,Mother of Neville who was tortured by Bellatrix.,Frank Longbottom,Father of Neville who was tortured by Bellatrix.
26,28,family,4,Alice Longbottom,Mother of Neville who was tortured by Bellatrix.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
27,26,family,4,Frank Longbottom,Father of Neville who was tortured by Bellatrix.,Alice Longbottom,Mother of Neville who was tortured by Bellatrix.
27,45,family,4,Frank Longbottom,Father of Neville who was tortured by Bellatrix.,Lord Voldemort,The antagonist of the series who murdered many.
27,28,family,4,Frank Longbottom,Father of Neville who was tortured by Bellatrix.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
28,39,friendship,2,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,Harry Potter,The boy who lived. Main character of the series.
28,45,enmity,3,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,Lord Voldemort,The antagonist of the series who murdered many.
28,21,friendship,2,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
28,58,friendship,2,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,Ron Weasley,Harry's best friend. Marries Hermione.
28,29,friendship,2,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.
28,32,enmity,3,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,Draco Malfoy,Slytherin student who had many arguments with Harry.
29,28,friendship,2,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
29,39,friendship,2,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.,Harry Potter,The boy who lived. Main character of the series.
29,21,friendship,2,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
29,58,friendship,2,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.,Ron Weasley,Harry's best friend. Marries Hermione.
30,29,family,4,Xenophilius Lovegood,Father of Luna and editor of The Quibbler.,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.
31,38,enmity,3,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
31,45,enmity,3,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,Lord Voldemort,The antagonist of the series who murdered many.
31,40,family,4,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,James Potter,Father of Harry. Murdered by Voldemort.
31,1,family,4,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,Sirius Black,Best friend of James Potter and godfather of Harry.
31,48,friendship,2,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.
31,39,friendship,2,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,Harry Potter,The boy who lived. Main character of the series.
31,36,friendship,2,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
32,5,friendship,2,Draco Malfoy,Slytherin student who had many arguments with Harry.,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.
32,20,friendship,2,Draco Malfoy,Slytherin student who had many arguments with Harry.,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.
32,33,family,4,Draco Malfoy,Slytherin student who had many arguments with Harry.,Lucius Malfoy,Father of Draco and influential Death-Eater.
32,34,family,4,Draco Malfoy,Slytherin student who had many arguments with Harry.,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.
32,39,enmity,3,Draco Malfoy,Slytherin student who had many arguments with Harry.,Harry Potter,The boy who lived. Main character of the series.
32,21,enmity,3,Draco Malfoy,Slytherin student who had many arguments with Harry.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
32,58,enmity,3,Draco Malfoy,Slytherin student who had many arguments with Harry.,Ron Weasley,Harry's best friend. Marries Hermione.
33,32,family,4,Lucius Malfoy,Father of Draco and influential Death-Eater.,Draco Malfoy,Slytherin student who had many arguments with Harry.
33,34,family,4,Lucius Malfoy,Father of Draco and influential Death-Eater.,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.
33,45,family,4,Lucius Malfoy,Father of Draco and influential Death-Eater.,Lord Voldemort,The antagonist of the series who murdered many.
33,39,family,4,Lucius Malfoy,Father of Draco and influential Death-Eater.,Harry Potter,The boy who lived. Main character of the series.
33,59,family,4,Lucius Malfoy,Father of Draco and influential Death-Eater.,Dobby,House elf and friend of Harry. He is killed by Bellatrix.
34,33,family,4,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.,Lucius Malfoy,Father of Draco and influential Death-Eater.
34,45,family,4,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.,Lord Voldemort,The antagonist of the series who murdered many.
34,25,family,4,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.
35,22,friendship,2,Olympe Maxime,Half-giantess and headmistress of Beauxbatons.,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.
35,8,friendship,2,Olympe Maxime,Half-giantess and headmistress of Beauxbatons.,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.
35,11,friendship,2,Olympe Maxime,Half-giantess and headmistress of Beauxbatons.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
35,23,friendship,2,Olympe Maxime,Half-giantess and headmistress of Beauxbatons.,Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.
36,15,friendship,2,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Argus Filch,Squib caretake of Hogwards.
36,22,friendship,2,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.
36,49,enmity,3,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
36,45,enmity,3,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Lord Voldemort,The antagonist of the series who murdered many.
36,11,friendship,2,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
36,39,friendship,2,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Harry Potter,The boy who lived. Main character of the series.
39,36,friendship,2,Harry Potter,The boy who lived. Main character of the series.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
36,21,friendship,2,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,36,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
36,58,friendship,2,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Ron Weasley,Harry's best friend. Marries Hermione.
58,36,friendship,2,Ron Weasley,Harry's best friend. Marries Hermione.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
36,45,enmity,3,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Lord Voldemort,The antagonist of the series who murdered many.
45,36,enmity,3,Lord Voldemort,The antagonist of the series who murdered many.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
36,11,friendship,2,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
11,36,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
37,39,friendship,2,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Harry Potter,The boy who lived. Main character of the series.
37,50,family,4,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
37,56,family,4,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.
39,37,friendship,2,Harry Potter,The boy who lived. Main character of the series.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
39,45,enmity,3,Harry Potter,The boy who lived. Main character of the series.,Lord Voldemort,The antagonist of the series who murdered many.
37,21,friendship,2,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,37,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
37,21,friendship,2,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,37,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
37,7,family,4,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.
7,37,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
37,11,friendship,2,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
11,37,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
37,45,enmity,3,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Lord Voldemort,The antagonist of the series who murdered many.
45,37,enmity,3,Lord Voldemort,The antagonist of the series who murdered many.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
38,1,family,4,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,Sirius Black,Best friend of James Potter and godfather of Harry.
1,38,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
38,40,family,4,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,James Potter,Father of Harry. Murdered by Voldemort.
40,38,family,4,James Potter,Father of Harry. Murdered by Voldemort.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
38,41,family,4,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,Lily Potter,Mother of Harry. Murdered by Voldemort.
41,38,family,4,Lily Potter,Mother of Harry. Murdered by Voldemort.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
41,39,family,4,Lily Potter,Mother of Harry. Murdered by Voldemort.,Harry Potter,The boy who lived. Main character of the series.
38,45,friendship,2,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,Lord Voldemort,The antagonist of the series who murdered many.
45,38,friendship,2,Lord Voldemort,The antagonist of the series who murdered many.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
38,39,enmity,3,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,Harry Potter,The boy who lived. Main character of the series.
39,38,enmity,3,Harry Potter,The boy who lived. Main character of the series.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
40,39,family,4,James Potter,Father of Harry. Murdered by Voldemort.,Harry Potter,The boy who lived. Main character of the series.
39,40,family,4,Harry Potter,The boy who lived. Main character of the series.,James Potter,Father of Harry. Murdered by Voldemort.
40,31,family,4,James Potter,Father of Harry. Murdered by Voldemort.,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.
31,40,family,4,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,James Potter,Father of Harry. Murdered by Voldemort.
40,1,family,4,James Potter,Father of Harry. Murdered by Voldemort.,Sirius Black,Best friend of James Potter and godfather of Harry.
1,40,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,James Potter,Father of Harry. Murdered by Voldemort.
40,38,family,4,James Potter,Father of Harry. Murdered by Voldemort.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
38,40,family,4,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,James Potter,Father of Harry. Murdered by Voldemort.
40,45,family,4,James Potter,Father of Harry. Murdered by Voldemort.,Lord Voldemort,The antagonist of the series who murdered many.
45,40,family,4,Lord Voldemort,The antagonist of the series who murdered many.,James Potter,Father of Harry. Murdered by Voldemort.
40,41,family,4,James Potter,Father of Harry. Murdered by Voldemort.,Lily Potter,Mother of Harry. Murdered by Voldemort.
41,40,family,4,Lily Potter,Mother of Harry. Murdered by Voldemort.,James Potter,Father of Harry. Murdered by Voldemort.
41,45,family,4,Lily Potter,Mother of Harry. Murdered by Voldemort.,Lord Voldemort,The antagonist of the series who murdered many.
45,41,family,4,Lord Voldemort,The antagonist of the series who murdered many.,Lily Potter,Mother of Harry. Murdered by Voldemort.
41,47,family,4,Lily Potter,Mother of Harry. Murdered by Voldemort.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
47,41,family,4,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,Lily Potter,Mother of Harry. Murdered by Voldemort.
42,39,enmity,3,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,Harry Potter,The boy who lived. Main character of the series.
39,42,enmity,3,Harry Potter,The boy who lived. Main character of the series.,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.
42,21,enmity,3,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,42,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.
42,21,enmity,3,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,42,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.
42,11,enmity,3,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
11,42,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.
42,45,enmity,3,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,Lord Voldemort,The antagonist of the series who murdered many.
45,42,enmity,3,Lord Voldemort,The antagonist of the series who murdered many.,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.
43,45,family,4,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.,Lord Voldemort,The antagonist of the series who murdered many.
43,44,family,4,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.,Mary Riddle,Muggle mother of Voldemort who was killed by him.
44,43,family,4,Mary Riddle,Muggle mother of Voldemort who was killed by him.,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.
44,45,family,4,Mary Riddle,Muggle mother of Voldemort who was killed by him.,Lord Voldemort,The antagonist of the series who murdered many.
43,45,family,4,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.,Lord Voldemort,The antagonist of the series who murdered many.
45,43,family,4,Lord Voldemort,The antagonist of the series who murdered many.,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.
46,39,enmity,3,Rita Skeeter,Reporter at the Daily Prophet.,Harry Potter,The boy who lived. Main character of the series.
39,46,enmity,3,Harry Potter,The boy who lived. Main character of the series.,Rita Skeeter,Reporter at the Daily Prophet.
46,11,enmity,3,Rita Skeeter,Reporter at the Daily Prophet.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
11,46,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Rita Skeeter,Reporter at the Daily Prophet.
47,39,friendship,2,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,Harry Potter,The boy who lived. Main character of the series.
39,47,friendship,2,Harry Potter,The boy who lived. Main character of the series.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
47,21,friendship,2,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,47,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
47,21,friendship,2,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,47,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
42,11,friendship,2,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
11,42,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.
47,41,family,4,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,Lily Potter,Mother of Harry. Murdered by Voldemort.
41,47,family,4,Lily Potter,Mother of Harry. Murdered by Voldemort.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
47,45,enmity,3,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,Lord Voldemort,The antagonist of the series who murdered many.
45,47,enmity,3,Lord Voldemort,The antagonist of the series who murdered many.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
48,31,friendship,2,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.
48,45,enmity,3,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.,Lord Voldemort,The antagonist of the series who murdered many.
31,48,friendship,2,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.
49,39,enmity,3,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,Harry Potter,The boy who lived. Main character of the series.
39,49,enmity,3,Harry Potter,The boy who lived. Main character of the series.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
49,21,enmity,3,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,49,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
49,21,enmity,3,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,49,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
49,11,enmity,3,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
11,49,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
49,18,friendship,2,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,Cornelius Fudge,Minister of Magic that was forced to resign.
18,49,friendship,2,Cornelius Fudge,Minister of Magic that was forced to resign.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
50,21,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
50,1,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Sirius Black,Best friend of James Potter and godfather of Harry.
50,11,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
50,33,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Lucius Malfoy,Father of Draco and influential Death-Eater.
50,39,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Harry Potter,The boy who lived. Main character of the series.
21,50,family,4,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
50,51,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
51,50,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
50,52,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
52,50,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
50,53,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes
53,50,family,4,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
50,54,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
54,50,family,4,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
50,54,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
54,50,family,4,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
50,55,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.
55,50,family,4,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
50,57,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.
57,50,family,4,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
51,39,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Harry Potter,The boy who lived. Main character of the series.
51,45,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Lord Voldemort,The antagonist of the series who murdered many.
51,21,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
21,51,family,4,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
50,51,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
51,50,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
51,52,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
52,51,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
51,53,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes
53,51,family,4,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
51,54,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
54,51,family,4,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
51,54,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
54,51,family,4,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
51,55,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.
55,51,family,4,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
51,57,family,4,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.
57,51,family,4,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
52,21,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
52,39,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Harry Potter,The boy who lived. Main character of the series.
21,52,family,4,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
50,52,family,4,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
52,50,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
52,53,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes
53,52,family,4,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
52,54,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
54,52,family,4,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
52,54,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
52,45,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Lord Voldemort,The antagonist of the series who murdered many.
54,52,family,4,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
52,55,family,4,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.
55,52,family,4,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
